,target,text
3990,1,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
5310,0,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
3101,0,Pathaya enketa maraikara pa'
269,1,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
5076,0,"Well, i'm glad you didn't find it totally disagreeable ... Lol"
4879,0,Yeah just open chat and click friend lists. Then make the list. Easy as pie
1692,0,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
330,0,K.k:)apo k.good movie.
1705,0,Yun ah.now Ã¼ wkg where?btw if Ã¼ go nus sc. Ãœ wana specialise in wad?
271,0,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
601,0,If u sending her home first it's ok lor. I'm not ready yet.
749,0,By monday next week. Give me the full gist
3714,0,"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not."
637,0,When Ã¼ login dat time... Dad fetching Ã¼ home now?
773,0,I wil be there with in  &lt;#&gt;  minutes. Got any space
2037,0,Oh sorry please its over
4003,0,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
1713,1,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
556,0,Having lunch:)you are not in online?why?
4859,0,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?"
2077,0,Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx
3379,0,Dear umma she called me now :-)
2511,0,Er yep sure. Props?
1712,0,o turns out i had stereo love on mi phone under the unknown album.
2356,0,No..he joined today itself.
2825,1,"Congratulations - Thanks to a good friend U have WON the Â£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate"
2182,0,PS U no ur a grown up now right?
2227,0,Oh k.k..where did you take test?
565,0,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?"
3037,0,Cos darren say Ã¼ considering mah so i ask Ã¼...
2306,0,"Aight that'll work, thanks"
4953,0,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!
325,0,No calls..messages..missed calls
2567,0,I dont want to hear anything
2634,0,"Sorry da thangam, very very sorry i am held up with prasad."
4119,0,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
3760,0,We'll join the  &lt;#&gt;  bus
3063,1,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603"
817,0,Also are you bringing galileo or dobby
1585,0,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
4050,0,Ok ok take care. I can understand.
74,0,I am waiting machan. Call me once you free.
2433,0,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" &lt;#&gt;  lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m."""
1811,0,Do Ã¼ all wan 2 meet up n combine all the parts? How's da rest of da project going?
3390,1,Please CALL 08712402972 immediately as there is an urgent message waiting for you
1398,0,No did you check? I got his detailed message now
4565,0,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
996,0,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
3907,0,No that just means you have a fat head
5028,0,Go chase after her and run her over while she's crossing the street
1733,1,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive Â£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else...."
3284,0,ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*
214,0,Sounds great! Are you home now?
569,0,WOT U WANNA DO THEN MISSY?
3708,1,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
1196,0,What he said is not the matter. My mind saying some other matter is there.
4426,0,Was it something u ate?
4477,0,Oh :-)only 4 outside players allowed to play know
2924,0,Thts god's gift for birds as humans hav some natural gift frm god..
1533,0,Horrible bf... I now v hungry...
5395,0,As in i want custom officer discount oh.
4472,1,3. You have received your mobile content. Enjoy
2312,1,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith.."
3618,0,Hey check it da. I have listed da.
2394,0,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
2085,0,Moji i love you more than words. Have a rich day
5499,0,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night
1471,0,Oh. U must have taken your REAL Valentine out shopping first.
421,1,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p
3127,0,Thats cool. i liked your photos. You are very sexy!
5389,0,Nt joking seriously i told
3077,0,There is no sense in my foot and penis.
3357,0,"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla.."
61,0,Its a part of checking IQ
4223,0,Stupid auto correct on my phone
2436,0,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude
3169,0,"Haven't seen my facebook, huh? Lol!"
2729,1,"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or Â£1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR"
1754,0,How is your schedule next week? I am out of town this weekend.
1214,0,I'll text now! All creepy like so he won't think that we forgot
4023,0,Well. Balls. Time to make calls
2842,0,aathi..where are you dear..
5097,1,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!"
2536,0,You do what all you like
2262,0,It should take about  &lt;#&gt;  min
1701,0,Can come my room but cannot come my house cos my house still messy... Haha...
1062,0,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.
3565,0,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-"
178,0,Text her. If she doesnt reply let me know so i can have her log in
3672,0," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
757,0,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!"
3829,0,"Sure, I'll see if I can come by in a bit"
4300,0,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
2393,0,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. "
2902,0,"Bill, as in: Are there any letters for me. iâ€™m expecting one from orange that isnâ€™t a bill but may still say orange on it."
4391,0,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
588,0,Ya srsly better than yi tho
2613,0,Thanks for sending this mental ability question..
167,0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
2736,0,Really? I crashed out cuddled on my sofa.
4737,0,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?"
1699,0,Ok...
4840,1,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
1988,0,"Sorry, I'll call later"
1629,0,Sounds like you have many talents! would you like to go on a dinner date next week?
1306,1,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 
1803,0,I'm in class. Did you get my text.
5032,0,Ok i vl..do u know i got adsense approved..
4211,0,Oi when you gonna ring
2826,0,Ok lor...
3251,0,"Iâ€˜ll leave around four, ok?"
788,1,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, Â£3 per pole. UnSub 08718727870."
2357,0,Okay same with me. Well thanks for the clarification
2888,0,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?
2662,1,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?"
632,0,Oh that was a forwarded message. I thought you send that to me
568,0,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!
52,0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
2734,0,Can you do a mag meeting this avo at some point?
5,0,Even my brother is not like to speak with me. They treat me like aids patent.
2926,0,Im done. Just studyn in library
2758,0,What time. Iâ€˜m out until prob 3 or so
5406,0,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if Ã¼ leaving earlier or wat mah cos mayb Ã¼ haf to walk v far...
1560,0,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
934,1,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or Â£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH."
4535,0,IM LATE TELLMISS IM ON MY WAY
891,0,I am great princess! What are you thinking about me? :)
4316,0,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
531,0,What Today-sunday..sunday is holiday..so no work..
127,0,Are you there in room.
1918,0,Is fujitsu s series lifebook good?
3218,0,Don know:)this week i'm going to tirunelvai da.
1286,0,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
294,0,I accidentally deleted the message. Resend please.
3877,0,"Sorry sir, i will call you tomorrow.  senthil.hsbc"
3673,0,Moji just informed me that you saved our lives. Thanks.
3004,1,"You've won tkts to the EURO2004 CUP FINAL or Â£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
1245,0,Hello which the site to download songs its urgent pls
3960,0,I sent lanre fakeye's Eckankar details to the mail box
606,1,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 
3811,0,Excellent! Wish we were together right now!
2664,0,He remains a bro amongst bros
1652,1,"For ur chance to win a Â£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
2249,1,"Thanks for your ringtone order, ref number R836. Your mobile will be charged Â£4.50. Should your tone not arrive please call customer services on 09065069154"
4674,0,I'm leaving my house now.
3151,0,Yeah but which is worse for i
4820,1,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo
410,0,Come by our room at some point so we can iron out the plan for this weekend
3219,0,Me too baby! I promise to treat you well! I bet you will take good care of me...
3234,0,Yup Ã¼ not comin :-(
4815,0,Ãœ no home work to do meh... 
110,0,What is the plural of the noun research?
3165,0,Cheers for the card ... Is it that time of year already?
1462,1,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a Â£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
3896,1,tells u 2 call 09066358152 to claim Â£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
5311,0,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...
5380,1,You have 1 new message. Call 0207-083-6089
652,0,"Wait, do you know if wesleys in town? I bet she does hella drugs!"
2620,0,How come?
4146,0,I canÂ’t wait for cornwall. Hope tonight isnÂ’t too bad as well but itÂ’s rock night shite. Anyway iÂ’m going for a kip now have a good night. Speak to you soon.
4869,0,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.
4935,0,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?"
580,0,Huh so early.. Then Ã¼ having dinner outside izzit?
309,0,Where are the garage keys? They aren't on the bookshelf
1825,0,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
4494,0,Man this bus is so so so slow. I think you're gonna get there before me
2241,0,U buy newspapers already?
1451,0,Ya! when are Ã¼ taking ure practical lessons? I start in june..  
2090,0,S:-)kallis wont play in first two odi:-)
1313,0,How abt making some of the pics bigger?
1150,0,(That said can you text him one more time?)
2523,0,"Sorry, I'll call later"
5201,0,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?
2013,1,Great News! Call FREEFONE 08006344447 to claim your guaranteed Â£1000 CASH or Â£2000 gift. Speak to a live operator NOW!
4053,0,I was slept that time.you there?
3246,0,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens"
3287,0,"The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard"
2467,0,Is there coming friday is leave for pongal?do you get any news from your work place.
4989,0,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!
4836,0,Yay can't wait to party together!
4634,0,These won't do. Have to move on to morphine
3275,0,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.
514,1,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a Â£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
3890,1,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8"
4036,0,How are you holding up?
3584,1,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY Â£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
5274,0,Oh yeah clearly it's my fault
3184,0,Good morning pookie pie! Lol hope I didn't wake u up
990,0,26th OF JULY
2963,0,You dont know you jabo me abi.
980,0,If he started searching he will get job in few days.he have great potential and talent.
19,0,Is that seriously how you spell his name?
4056,0,"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)"
2799,0,I've told him that i've returned it. That should i re order it.
9,0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
2114,1,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
3796,0,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.
1136,1,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
5082,0,Aiya we discuss later lar... Pick Ã¼ up at 4 is it?
3513,0,Staff of placement training in Amrita college.
41,1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
3729,0,I'm at home. Please call
3827,1,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net costÂ£3.75max 
2789,0,When you are big..| God will bring success.
2743,0,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.
4107,1,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
5219,0,I have to take exam with in march 3
3704,0,Kent vale lor... Ãœ wait 4 me there ar?
34,0,Yup... Ok i go home look at the timings then i msg Ã¼ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
202,0,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
883,0,Dude we should go sup again
4515,0,That was random saw my old roomate on campus. He graduated
2152,0,Hi kindly give us back our documents which we submitted for loan from STAPATI
4181,0,"Ok da, i already planned. I wil pick you."
4648,0,We are okay. Going to sleep now. Later
5385,0,I'm at work. Please call
4932,0,Match started.india  &lt;#&gt;  for 2
1910,0,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer
3082,0,"And very importantly, all we discuss is between u and i only."
1114,0,No no:)this is kallis home ground.amla home town is durban:)
5545,0,Ic. There are a lotta childporn cars then.
5469,0,I thought slide is enough.
2419,1,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE
2699,0,Oh baby of the house. How come you dont have any new pictures on facebook
3414,0,No pic. Please re-send.
5095,0,But i'm really really broke oh. No amount is too small even  &lt;#&gt; 
3089,0,What Today-sunday..sunday is holiday..so no work..
4375,1,Ur TONEXS subscription has been renewed and you have been charged Â£4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*
1739,0,U guys never invite me anywhere :(
3498,0,You said to me before i went back to bed that you can't sleep for anything.
5134,0,Sorry * was at the grocers.
1069,0,Jus finish bathing...
4287,0,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-)
2871,0,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?
4904,0,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
3516,0,"Well, I was about to give up cos they all said no they didnâ€˜t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?"
3159,0,Are you up for the challenge? I know i am :)
666,0,Carlos'll be here in a minute if you still need to buy
1059,1,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN Â£100 Cash WKENT/150P16+
314,0,You made my day. Do have a great day too.
1044,1,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
825,0,Hmm .. Bits and pieces lol ... *sighs* ...
2696,0,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
2709,0,Sorry de i went to shop.
4224,0,Double eviction this week - Spiral and Michael and good riddance to them!
1158,0,Hey! There's veggie pizza... :/
2059,0,He didn't see his shadow. We get an early spring yay
1423,0,Lol great now im getting hungry.
3753,0,Ya that one is slow as poo
3370,0,Most of the tiime when i don't let you hug me it's so i don't break into tears.
4321,0,"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;"
1510,0,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
1168,0,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
3053,0,Pls send me the correct name da.
4949,0,I am in bus on the way to calicut
2816,0,Genius what's up. How your brother. Pls send his number to my skype.
2810,0,Mm so you asked me not to call radio
654,0,Did u got that persons story
5504,0,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.
3198,0,7 lor... Change 2 suntec... Wat time u coming?
3597,1,Congratulations YOU'VE Won. You're a Winner in our August Â£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
1493,0,How are you with moneY...as in to you...money aint a thing....how are you sha!
4240,0,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe"
5233,0,Ok cool. See ya then.
776,0,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke
3548,0,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt..."
479,0,When're you guys getting back? G said you were thinking about not staying for mcr
441,0,You were supposed to wake ME up &gt;:(
5238,0,"Jay wants to work out first, how's 4 sound?"
3899,0,Ãœ mean it's confirmed... I tot they juz say oni... Ok then... 
688,0,Thanks love. But am i doing torch or bold.
1033,0,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!"
5188,1,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
5519,0,No. I dont want to hear anything
423,1,URGENT! Your Mobile number has been awarded with a Â£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
3939,0,Y Ã¼ wan to go there? C doctor?
1205,0,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
3129,0,"Haha better late than ever, any way I could swing by?"
1277,0,Dont put your phone on silent mode ok
3300,0,Just do what ever is easier for you
2375,0,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx
198,0,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
3662,0,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? "
5057,0,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free
2327,1,"URGENT! Your mobile number *************** WON a Â£2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm"
5301,0,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.
4587,0,"I'll see if I can swing by in a bit, got some things to take care of here firsg"
51,0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
2835,0,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter.."
4571,0,"CHA QUITEAMUZING THATÂ’SCOOL BABE,PROBPOP IN & CU SATTHEN HUNNY 4BREKKIE! LOVE JEN XXX. PSXTRA LRG PORTIONS 4 ME PLEASE "
2568,0,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..
4927,0,Wanna do some art?! :D
4983,0,Networking job is there.
5000,0,Well its not like you actually called someone a punto. That woulda been worse.
5419,0,I dont know oh. Hopefully this month.
3935,0,You need to get up. Now.
5473,0,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?
855,1,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.
2654,0,Its sarcasm.. .nt scarcasim
5436,0,Am slow in using biola's fne
5409,0,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?"
4776,0,Quite lor. But dun tell him wait he get complacent...
4102,0,Ok then i will come to ur home after half an hour
4933,0,Once free call me sir.
5221,0,5 nights...We nt staying at port step liao...Too ex
1540,0,K come to nordstrom when you're done
5364,1,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
2746,0,K da:)how many page you want?
753,0,When did you get to the library
3132,0,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!
1008,0,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; ."
494,0,Are you free now?can i call now?
5538,0,Just sleeping..and surfing
1820,0,I'll probably be by tomorrow (or even later tonight if something's going on)
5514,0,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.
1350,0,Bugis oso near wat... 
487,0,Dear reached railway. What happen to you
5077,0,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh."
1235,0,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
3409,0,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! "
1865,0,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.
659,1,88800 and 89034 are premium phone services call 08718711108
3537,0,"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*"
551,0,"Hurry up, I've been weed-deficient for like three days"
5342,0,No go. No openings for that room 'til after thanksgiving without an upcharge.
